Country_Name,Counts
Angola,3
Australia,4
Austria,3
Azerbaijan,2
Bahrain,4
Bangladesh,3
Belgium,12
Bermuda,1
Brazil,14
Cambodia,1
Canada,17
Cayman Islands,1
Chile,1
Colombia,2
C̫te d'Ivoire,1
Cyprus,1
Czech Republic,1
Denmark,12
Egypt,2
Finland,2
France,20
Germany,23
Greece,3
Guatemala,2
"Hong Kong SAR, China",9
India,42
Indonesia,10
Ireland,2
Israel,4
Italy,11
Japan,49
Jordan,1
Kenya,1
Kosovo,1
Kuwait,6
Lao PDR,1
Lebanon,1
Liechtenstein,1
Luxembourg,2
Malaysia,2
Mauritius,1
Mexico,4
Monaco,1
Morocco,1
Myanmar,2
Netherlands,23
Nigeria,5
Norway,9
Oman,2
Pakistan,8
Palestinian Territories,1
Panama,1
People's Republic of China,51
Peru,2
Poland,2
Portugal,4
Qatar,6
Republic of Korea,7
Romania,1
Saudi Arabia,19
Serbia,1
Seychelles,1
Singapore,12
South Africa,22
Spain,7
Sri Lanka,2
Sweden,8
Switzerland,37
"Taiwan, China",2
Thailand,11
Turkey,11
Ukraine,3
United Arab Emirates,20
United Kingdom,52
USA,238
Viet Nam,4
Virgin Islands (British),1
